username,password,firstName,lastName,address1,address2
user1,pass1,User1,One,Street 1,Apt 1
user2,pass2,User2,Two,Street 2,Apt 2
user3,pass3,User3,Three,Street 3,Apt 3
user4,pass4,User4,Four,Street 4,Apt 4
user5,pass5,User5,Five,Street 5,Apt 5
user6,pass6,User6,Six,Street 6,Apt 6
user7,pass7,User7,Seven,Street 7,Apt 7
user8,pass8,User8,Eight,Street 8,Apt 8
user9,pass9,User9,Nine,Street 9,Apt 9
user10,pass10,User10,Ten,Street 10,Apt 10
user11,pass11,User11,Eleven,Street 11,Apt 11
user12,pass12,User12,Twelve,Street 12,Apt 12
user13,pass13,User13,Thirteen,Street 13,Apt 13
user14,pass14,User14,Fourteen,Street 14,Apt 14
user15,pass15,User15,Fifteen,Street 15,Apt 15
user16,pass16,User16,Sixteen,Street 16,Apt 16
user17,pass17,User17,Seventeen,Street 17,Apt 17
user18,pass18,User18,Eighteen,Street 18,Apt 18
user19,pass19,User19,Nineteen,Street 19,Apt 19
user20,pass20,User20,Twenty,Street 20,Apt 20
